Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,
19,24,25,4,0,76,3,lbw,1,England,Port of Spain,05-Mar-94,ODI # 890
16,40,29,0,0,55.17,3,caught,1,England,Port of Spain,06-Mar-94,ODI # 892
10,18,16,1,0,62.5,3,caught,1,India,Faridabad,17-Oct-94,ODI # 931
6,25,18,0,0,33.33,3,caught,1,India,Mumbai,20-Oct-94,ODI # 933
74,120,83,5,0,89.15,3,lbw,1,India,Chennai,23-Oct-94,ODI # 936
32,55,38,5,0,84.21,3,stumped,1,New Zealand,Margao,26-Oct-94,ODI # 938
69,125,75,7,0,92,3,caught,1,New Zealand,Guwahati,01-Nov-94,ODI # 943
1,13,11,0,0,9.09,3,bowled,2,India,Kolkata,05-Nov-94,ODI # 947
39,65,55,2,0,70.9,3,caught,2,India,Visakhapatnam,07-Nov-94,ODI # 949
89,123,106,8,1,83.96,3,stumped,1,India,Cuttack,09-Nov-94,ODI # 950
47,90,59,8,0,79.66,3,lbw,2,India,Jaipur,11-Nov-94,ODI # 951
55*,47,32,8,1,171.87,3,not out,2,New Zealand,Auckland,22-Jan-95,ODI # 972
72,136,85,7,0,84.7,3,run out,1,New Zealand,Wellington,25-Jan-95,ODI # 973
34*,49,48,4,0,70.83,3,not out,2,New Zealand,Christchurch,28-Jan-95,ODI # 974
55,101,72,7,0,76.38,3,caught,1,Australia,Bridgetown,08-Mar-95,ODI # 985
62,104,71,8,0,87.32,3,caught,2,Australia,Port of Spain,11-Mar-95,ODI # 986
139,168,123,15,3,113,3,caught,1,Australia,Port of Spain,12-Mar-95,ODI # 987
DNB,-,-,-,-,-,-,-,2,Australia,Kingstown,15-Mar-95,ODI # 988
70,100,95,7,1,73.68,3,caught,2,England,Nottingham,24-May-95,ODI # 1000
39,51,36,6,0,108.33,3,bowled,2,England,The Oval,26-May-95,ODI # 1001
11,15,10,2,0,110,3,caught,2,England,Lord's,28-May-95,ODI # 1002
19,-,40,0,0,47.5,3,run out,2,Sri Lanka,Sharjah,11-Oct-95,ODI # 1006
21,-,15,2,1,140,3,caught,2,Pakistan,Sharjah,13-Oct-95,ODI # 1008
52,-,58,5,2,89.65,3,caught,2,Pakistan,Sharjah,15-Oct-95,ODI # 1009
169,-,129,15,4,131,3,bowled,1,Sri Lanka,Sharjah,16-Oct-95,ODI # 1010
8,-,25,0,0,32,3,caught,2,Sri Lanka,Sharjah,20-Oct-95,ODI # 1012
43*,44,31,5,2,138.7,3,not out,2,Zimbabwe,Hyderabad (Deccan),16-Feb-96,ODI # 1050
2,8,5,0,0,40,3,caught,1,India,Gwalior,21-Feb-96,ODI # 1056
8,19,11,1,0,72.72,3,caught,2,Kenya,Pune,29-Feb-96,ODI # 1066
60,102,70,7,0,85.71,3,caught,2,Australia,Jaipur,04-Mar-96,ODI # 1072
111,142,94,16,0,118.08,3,caught,1,South Africa,Karachi,11-Mar-96,ODI # 1079
45,69,45,4,0,100,3,bowled,2,Australia,Mohali,14-Mar-96,ODI # 1082
12,17,13,2,0,92.3,3,lbw,2,New Zealand,Kingston,26-Mar-96,ODI # 1084
11,19,20,1,0,55,3,caught,1,New Zealand,Port of Spain,29-Mar-96,ODI # 1085
146*,165,134,12,3,108.95,3,not out,2,New Zealand,Port of Spain,30-Mar-96,ODI # 1086
17,18,13,4,0,130.76,3,caught,2,New Zealand,Georgetown,03-Apr-96,ODI # 1090
104,172,103,10,1,100.97,3,caught,2,New Zealand,Kingstown,06-Apr-96,ODI # 1092
71,-,93,6,1,76.34,3,caught,2,Sri Lanka,Port of Spain,13-Apr-96,ODI # 1096
5,36,21,0,0,23.8,3,caught,1,Australia,Melbourne,06-Dec-96,ODI # 1147
26,65,48,1,0,54.16,3,caught,1,Australia,Sydney,08-Dec-96,ODI # 1149
31*,39,44,5,0,70.45,4,not out,2,Pakistan,Adelaide,17-Dec-96,ODI # 1154
48,101,74,2,0,64.86,4,caught,2,Pakistan,Brisbane,03-Jan-97,ODI # 1157
102,128,114,8,2,89.47,3,caught,2,Australia,Brisbane,05-Jan-97,ODI # 1159
103*,146,116,10,0,88.79,3,not out,2,Pakistan,Perth,10-Jan-97,ODI # 1161
90,139,110,4,3,81.81,3,caught,2,Australia,Perth,12-Jan-97,ODI # 1162
0,3,2,0,0,0,3,caught,1,Pakistan,Sydney,18-Jan-97,ODI # 1165
19,89,59,2,0,32.2,3,caught,2,Pakistan,Melbourne,20-Jan-97,ODI # 1166
25*,83,45,2,0,55.55,3,not out,2,India,Port of Spain,26-Apr-97,ODI # 1200
0,1,1,0,0,0,3,caught,1,India,Port of Spain,27-Apr-97,ODI # 1201
33,50,38,5,0,86.84,3,bowled,1,India,Kingstown,30-Apr-97,ODI # 1202
DNB,-,-,-,-,-,-,-,2,India,Bridgetown,03-May-97,ODI # 1203
67,-,68,6,2,98.52,4,caught,1,Sri Lanka,Port of Spain,06-Jun-97,ODI # 1215
80,-,108,7,0,74.07,3,bowled,1,Sri Lanka,Lahore,01-Nov-97,ODI # 1247
68,101,70,10,1,97.14,3,run out,1,South Africa,Lahore,03-Nov-97,ODI # 1249
7,-,12,1,0,58.33,3,bowled,1,Pakistan,Lahore,04-Nov-97,ODI # 1250
88,130,80,7,3,110,3,caught,1,Pakistan,Sharjah,12-Dec-97,ODI # 1260
0,1,2,0,0,0,3,lbw,1,England,Sharjah,13-Dec-97,ODI # 1261
23,35,20,4,1,115,3,caught,1,India,Sharjah,16-Dec-97,ODI # 1264
2,5,3,0,0,66.66,3,stumped,1,England,Sharjah,19-Dec-97,ODI # 1266
110,140,106,15,3,103.77,3,run out,2,England,Bridgetown,29-Mar-98,ODI # 1299
24,22,19,5,0,126.31,3,caught,2,England,Bridgetown,01-Apr-98,ODI # 1301
21,41,32,2,1,65.62,3,caught,2,England,Kingstown,04-Apr-98,ODI # 1304
51,75,64,7,0,79.68,5,bowled,2,England,Kingstown,05-Apr-98,ODI # 1307
93,143,105,10,0,88.57,4,bowled,1,England,Port of Spain,08-Apr-98,ODI # 1310
16,18,14,3,0,114.28,4,caught,1,Pakistan,Dhaka,29-Oct-98,ODI # 1361
60*,120,89,5,0,67.41,4,not out,2,India,Dhaka,31-Oct-98,ODI # 1363
11,15,9,0,1,122.22,4,bowled,1,South Africa,Dhaka,01-Nov-98,ODI # 1364
0,1,1,0,0,0,4,caught,1,South Africa,Johannesburg,22-Jan-99,ODI # 1390
3,34,26,0,0,11.53,4,caught,1,South Africa,East London,24-Jan-99,ODI # 1393
32,86,49,4,0,65.3,3,caught,2,South Africa,Durban,27-Jan-99,ODI # 1395
9,46,29,1,0,31.03,4,caught,2,South Africa,Centurion,07-Feb-99,ODI # 1404
16,39,30,1,0,53.33,3,caught,1,Australia,Kingstown,11-Apr-99,ODI # 1433
9,19,13,2,0,69.23,3,bowled,2,Australia,St George's,14-Apr-99,ODI # 1436
18*,41,25,2,0,72,5,not out,2,Australia,Port of Spain,17-Apr-99,ODI # 1438
6,11,11,1,0,54.54,5,bowled,2,Australia,Port of Spain,18-Apr-99,ODI # 1439
11,8,9,2,0,122.22,4,caught,2,Pakistan,Bristol,16-May-99,ODI # 1447
25,20,25,4,0,100,4,caught,2,Bangladesh,Dublin,21-May-99,ODI # 1454
36,61,54,3,1,66.66,4,caught,2,New Zealand,Southampton,24-May-99,ODI # 1460
25*,13,17,3,1,147.05,4,not out,2,Scotland,Leicester,27-May-99,ODI # 1465
9,14,15,1,0,60,4,bowled,1,Australia,Manchester,30-May-99,ODI # 1470
48,-,44,3,4,109.09,4,caught,2,Zimbabwe,Singapore,02-Sep-99,ODI # 1492
60,40,43,2,5,139.53,7,caught,1,India,Singapore,05-Sep-99,ODI # 1494
TDNB,-,-,-,-,-,-,-,-,India,Singapore,07-Sep-99,ODI # 1495
18,-,11,4,0,163.63,4,bowled,2,India,Singapore,08-Sep-99,ODI # 1496
2,-,7,0,0,28.57,5,caught,1,India,Toronto,11-Sep-99,ODI # 1497
34,-,63,5,0,53.96,5,caught,1,India,Toronto,12-Sep-99,ODI # 1498
26,-,37,4,0,70.27,5,caught,2,India,Toronto,14-Sep-99,ODI # 1499
20,-,30,2,0,66.66,5,caught,2,Pakistan,Toronto,16-Sep-99,ODI # 1500
26,-,21,5,0,123.8,4,lbw,2,Pakistan,Toronto,18-Sep-99,ODI # 1501
12,-,25,0,1,48,5,caught,1,Pakistan,Toronto,19-Sep-99,ODI # 1502
