Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,
3,6,2,0,0,150,5,run out,2,India,Vadodara,31-Jan-07,ODI # 2493
37,56,56,3,1,66.07,5,caught,1,Pakistan,Kingston,13-Mar-07,ODI # 2531
44*,83,68,2,1,64.7,5,not out,2,Zimbabwe,Kingston,19-Mar-07,ODI # 2543
DNB,-,-,-,-,-,-,-,2,Ireland,Kingston,23-Mar-07,ODI # 2551
77,118,83,8,1,92.77,5,lbw,2,Australia,North Sound,27-Mar-07,ODI # 2555
37,65,49,1,0,75.51,5,caught,1,New Zealand,North Sound,29-Mar-07,ODI # 2557
2,9,4,0,0,50,4,stumped,2,Sri Lanka,Providence,01-Apr-07,ODI # 2560
21,44,26,1,0,80.76,4,bowled,2,South Africa,St George's,10-Apr-07,ODI # 2567
33,34,27,1,2,122.22,6,caught,1,Bangladesh,Bridgetown,19-Apr-07,ODI # 2576
18,39,17,3,0,105.88,3,run out,1,England,Bridgetown,21-Apr-07,ODI # 2578
