Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
8,10,11,1,0,72.72,6,lbw,1,Sri Lanka,Bristol,11-Jul-02,ODI # 1855
69,82,63,9,1,109.52,6,caught,2,England,Lord's,13-Jul-02,ODI # 1856
3,7,7,0,0,42.85,6,caught,1,Zimbabwe,Colombo (RPS),14-Sep-02,ODI # 1876
DNB,-,-,-,-,-,-,-,2,England,Colombo (RPS),22-Sep-02,ODI # 1884
62,84,72,6,0,86.11,6,caught,1,South Africa,Colombo (RPS),25-Sep-02,ODI # 1886
DNB,-,-,-,-,-,-,-,2,Sri Lanka,Colombo (RPS),29-Sep-02,ODI # 1888
DNB,-,-,-,-,-,-,-,2,Sri Lanka,Colombo (RPS),30-Sep-02,ODI # 1889
4,14,8,0,0,50,6,caught,1,West Indies,Jamshedpur,06-Nov-02,ODI # 1893
1,2,2,0,0,50,7,caught,1,West Indies,Nagpur,09-Nov-02,ODI # 1894
DNB,-,-,-,-,-,-,-,2,West Indies,Rajkot,12-Nov-02,ODI # 1895
30,43,30,1,1,100,5,caught,2,West Indies,Ahmedabad,15-Nov-02,ODI # 1896
15,21,12,2,0,125,6,caught,1,West Indies,Vadodara,18-Nov-02,ODI # 1897
54,79,64,7,0,84.37,5,caught,2,West Indies,Jodhpur,21-Nov-02,ODI # 1898
68,-,69,7,1,98.55,5,bowled,2,West Indies,Vijayawada,24-Nov-02,ODI # 1900
2,2,3,0,0,66.66,6,caught,1,New Zealand,Auckland,26-Dec-02,ODI # 1926
0,1,2,0,0,0,5,stumped,2,New Zealand,Napier,29-Dec-02,ODI # 1927
12,60,44,1,0,27.27,6,run out,1,New Zealand,Christchurch,01-Jan-03,ODI # 1928
25,86,61,3,0,40.98,6,caught,1,New Zealand,Queenstown,04-Jan-03,ODI # 1929
54,124,85,8,0,63.52,6,caught,2,New Zealand,Wellington,08-Jan-03,ODI # 1930
8,30,25,0,0,32,5,caught,2,New Zealand,Auckland,11-Jan-03,ODI # 1933
33,82,58,4,0,56.89,6,caught,1,New Zealand,Hamilton,14-Jan-03,ODI # 1935
37,87,56,3,0,66.07,5,caught,1,Netherlands,Paarl,12-Feb-03,ODI # 1948
0,8,8,0,0,0,5,lbw,1,Australia,Centurion,15-Feb-03,ODI # 1951
1,3,5,0,0,20,6,caught,1,Zimbabwe,Harare,19-Feb-03,ODI # 1957
7*,13,7,1,0,100,4,not out,1,Namibia,Pietermaritzburg,23-Feb-03,ODI # 1964
42,38,38,4,1,110.52,6,caught,1,England,Durban,26-Feb-03,ODI # 1969
50*,91,53,6,0,94.33,6,not out,2,Pakistan,Centurion,01-Mar-03,ODI # 1975
58*,71,64,7,0,90.62,6,not out,2,Kenya,Cape Town,07-Mar-03,ODI # 1983
5,7,6,0,0,83.33,5,bowled,1,Sri Lanka,Johannesburg,10-Mar-03,ODI # 1985
DNB,-,-,-,-,-,-,-,2,New Zealand,Centurion,14-Mar-03,ODI # 1988
16,15,10,1,1,160,5,caught,1,Kenya,Durban,20-Mar-03,ODI # 1992
24,48,34,1,0,70.58,6,caught,2,Australia,Johannesburg,23-Mar-03,ODI # 1993
102*,99,85,9,4,120,5,not out,1,Bangladesh,Dhaka,11-Apr-03,ODI # 2001
11,17,12,1,0,91.66,5,run out,1,South Africa,Dhaka,13-Apr-03,ODI # 2002
2*,-,10,0,0,20,5,not out,1,South Africa,Dhaka,21-Apr-03,ODI # 2007
29*,46,38,4,0,76.31,5,not out,1,New Zealand,Chennai,23-Oct-03,ODI # 2051
44,44,33,6,1,133.33,4,caught,1,Australia,Gwalior,26-Oct-03,ODI # 2052
9,13,15,1,0,60,5,caught,2,Australia,Mumbai,01-Nov-03,ODI # 2054
0,1,3,0,0,0,5,caught,1,New Zealand,Cuttack,06-Nov-03,ODI # 2056
20,24,16,3,0,125,6,lbw,2,Australia,Bengaluru,12-Nov-03,ODI # 2061
7,15,10,0,0,70,4,caught,1,New Zealand,Hyderabad (Deccan),15-Nov-03,ODI # 2062
4,8,6,0,0,66.66,5,caught,2,Australia,Kolkata,18-Nov-03,ODI # 2064
25,37,24,0,1,104.16,6,caught,2,Australia,Melbourne,09-Jan-04,ODI # 2077
DNB,-,-,-,-,-,-,-,2,Zimbabwe,Hobart,14-Jan-04,ODI # 2080
5,6,4,1,0,125,5,bowled,1,Australia,Brisbane,18-Jan-04,ODI # 2084
69,83,76,3,0,90.78,5,bowled,1,Zimbabwe,Brisbane,20-Jan-04,ODI # 2085
139,143,122,16,2,113.93,5,bowled,1,Australia,Sydney,22-Jan-04,ODI # 2086
47,91,62,5,0,75.8,6,caught,1,Australia,Perth,01-Feb-04,ODI # 2093
4,14,8,1,0,50,5,caught,2,Zimbabwe,Perth,03-Feb-04,ODI # 2095
21,30,21,3,0,100,6,caught,1,Australia,Melbourne,06-Feb-04,ODI # 2097
4,19,15,1,0,26.66,6,caught,2,Australia,Sydney,08-Feb-04,ODI # 2098
3,11,9,0,0,33.33,5,caught,1,Pakistan,Karachi,13-Mar-04,ODI # 2112
19,30,20,2,0,95,6,caught,2,Pakistan,Rawalpindi,16-Mar-04,ODI # 2114
65,99,76,7,1,85.52,6,caught,1,Pakistan,Peshawar,19-Mar-04,ODI # 2115
36,44,35,5,0,102.85,6,caught,2,Pakistan,Lahore,21-Mar-04,ODI # 2116
18,22,19,2,0,94.73,6,caught,1,Pakistan,Lahore,24-Mar-04,ODI # 2117
22,23,25,2,0,88,6,bowled,1,U.A.E.,Dambulla,16-Jul-04,ODI # 2144
47,107,78,4,0,60.25,6,caught,2,Sri Lanka,Dambulla,18-Jul-04,ODI # 2148
DNB,-,-,-,-,-,-,-,2,Bangladesh,Colombo (SSC),21-Jul-04,ODI # 2149
28,37,29,4,0,96.55,5,caught,2,Pakistan,Colombo (RPS),25-Jul-04,ODI # 2152
50,55,46,4,0,108.69,5,caught,1,Sri Lanka,Colombo (RPS),27-Jul-04,ODI # 2153
8,30,29,0,0,27.58,6,bowled,2,Sri Lanka,Colombo (RPS),01-Aug-04,ODI # 2155
13,34,24,0,0,54.16,5,lbw,2,Pakistan,Amstelveen,21-Aug-04,ODI # 2157
TDNB,-,-,-,-,-,-,-,-,Australia,Amstelveen,23-Aug-04,ODI # 2159
4,25,6,1,0,66.66,5,run out,1,England,Nottingham,01-Sep-04,ODI # 2164
24,51,40,2,0,60,6,caught,2,England,The Oval,03-Sep-04,ODI # 2165
9,18,12,0,0,75,6,caught,1,England,Lord's,05-Sep-04,ODI # 2167
9,13,9,1,0,100,4,caught,1,Kenya,Southampton,11-Sep-04,ODI # 2170
