Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
66,87,66,10,0,100,1,run out,1,West Indies,Durban,16-Jan-15,ODI # 3579
153*,236,142,14,0,107.74,1,not out,1,West Indies,Johannesburg,18-Jan-15,ODI # 3583
61*,99,63,9,0,96.82,2,not out,2,West Indies,East London,21-Jan-15,ODI # 3587
133,190,105,11,6,126.66,2,bowled,1,West Indies,Centurion,28-Jan-15,ODI # 3593
11,36,26,1,0,42.3,2,bowled,1,Zimbabwe,Hamilton,15-Feb-15,ODI # 3601
22,50,28,2,0,78.57,1,caught,2,India,Melbourne,22-Feb-15,ODI # 3610
65,122,88,1,1,73.86,2,lbw,1,West Indies,Sydney,27-Feb-15,ODI # 3616
159,168,128,16,4,124.21,1,caught,1,Ireland,Canberra,03-Mar-15,ODI # 3621
38,51,27,9,0,140.74,2,caught,2,Pakistan,Auckland,07-Mar-15,ODI # 3626
12,15,16,3,0,75,1,caught,1,U.A.E.,Wellington,12-Mar-15,ODI # 3633
16,30,23,1,0,69.56,1,caught,2,Sri Lanka,Sydney,18-Mar-15,ODI # 3640
10,15,14,2,0,71.42,1,bowled,1,New Zealand,Auckland,24-Mar-15,ODI # 3644
14,23,18,2,0,77.77,2,caught,2,Bangladesh,Dhaka,10-Jul-15,ODI # 3663
22,56,37,3,0,59.45,1,bowled,1,Bangladesh,Dhaka,12-Jul-15,ODI # 3666
15,62,35,2,0,42.85,2,caught,1,Bangladesh,Chattogram,15-Jul-15,ODI # 3668
124,193,126,13,3,98.41,2,bowled,1,New Zealand,Centurion,19-Aug-15,ODI # 3676
8,6,8,2,0,100,1,caught,1,New Zealand,Potchefstroom,23-Aug-15,ODI # 3677
44,82,55,7,0,80,2,caught,1,New Zealand,Durban,26-Aug-15,ODI # 3678
37,96,59,3,0,62.71,2,bowled,1,India,Kanpur,11-Oct-15,ODI # 3689
17,25,17,3,0,100,1,stumped,2,India,Indore,14-Oct-15,ODI # 3692
5,21,15,0,0,33.33,3,stumped,1,India,Rajkot,18-Oct-15,ODI # 3695
7,24,10,0,0,70,2,caught,2,India,Chennai,22-Oct-15,ODI # 3698
23,18,13,5,0,176.92,2,caught,1,India,Mumbai,25-Oct-15,ODI # 3700
6,8,9,1,0,66.66,2,bowled,2,England,Bloemfontein,03-Feb-16,ODI # 3732
4,8,8,1,0,50,1,bowled,1,England,Port Elizabeth,06-Feb-16,ODI # 3734
127,187,130,13,2,97.69,2,caught,2,England,Centurion,09-Feb-16,ODI # 3736
0,-,3,0,0,0,1,bowled,2,England,Johannesburg,12-Feb-16,ODI # 3737
59,131,93,4,0,63.44,2,stumped,2,England,Cape Town,14-Feb-16,ODI # 3738
20,47,26,1,0,76.92,2,lbw,1,West Indies,Providence,03-Jun-16,ODI # 3739
35,81,46,2,0,76.08,1,run out,1,Australia,Providence,07-Jun-16,ODI # 3741
60,105,64,6,1,93.75,2,caught,2,Australia,Basseterre,11-Jun-16,ODI # 3743
110,133,99,13,0,111.11,1,caught,1,West Indies,Basseterre,15-Jun-16,ODI # 3747
0*,-,1,0,0,0,2,not out,1,Australia,Bridgetown,19-Jun-16,ODI # 3750
16,-,36,2,0,44.44,1,lbw,2,West Indies,Bridgetown,24-Jun-16,ODI # 3754
45,33,30,9,0,150,2,lbw,2,Australia,Durban,05-Oct-16,ODI # 3790
4,8,8,1,0,50,1,lbw,2,Australia,Port Elizabeth,09-Oct-16,ODI # 3792
25,27,22,5,0,113.63,2,bowled,1,Australia,Cape Town,12-Oct-16,ODI # 3795
57,110,71,5,1,80.28,2,caught,2,Sri Lanka,Port Elizabeth,28-Jan-17,ODI # 3828
15,16,14,3,0,107.14,1,lbw,1,Sri Lanka,Durban,01-Feb-17,ODI # 3830
34,91,54,4,0,62.96,2,run out,2,Sri Lanka,Johannesburg,04-Feb-17,ODI # 3831
1,8,9,0,0,11.11,1,caught,1,Sri Lanka,Cape Town,07-Feb-17,ODI # 3833
154,217,134,15,5,114.92,2,caught,1,Sri Lanka,Centurion,10-Feb-17,ODI # 3834
35,63,43,4,0,81.39,2,caught,2,New Zealand,Hamilton,19-Feb-17,ODI # 3836
10,19,13,2,0,76.92,1,lbw,2,New Zealand,Christchurch,22-Feb-17,ODI # 3839
7,37,19,0,0,36.84,2,caught,1,New Zealand,Wellington,25-Feb-17,ODI # 3841
40,54,38,6,1,105.26,1,bowled,1,New Zealand,Hamilton,01-Mar-17,ODI # 3843
8,47,28,1,0,28.57,2,caught,2,New Zealand,Auckland,04-Mar-17,ODI # 3846
73,97,76,8,0,96.05,1,lbw,2,England,Leeds,24-May-17,ODI # 3872
24,40,29,3,0,82.75,2,caught,2,England,Southampton,27-May-17,ODI # 3873
55,60,54,11,0,101.85,1,bowled,2,England,Lord's,29-May-17,ODI # 3874
103,202,115,5,2,89.56,1,run out,1,Sri Lanka,The Oval,03-Jun-17,ODI # 3877
16,39,20,2,0,80,2,lbw,1,Pakistan,Birmingham,07-Jun-17,ODI # 3881
35,69,54,3,1,64.81,2,caught,1,India,The Oval,11-Jun-17,ODI # 3886
110*,188,112,8,0,98.21,2,not out,2,Bangladesh,Kimberley,15-Oct-17,ODI # 3923
85,152,92,4,0,92.39,1,caught,1,Bangladesh,Paarl,18-Oct-17,ODI # 3925
16,32,17,1,0,94.11,2,lbw,1,India,Durban,01-Feb-18,ODI # 3969
23,39,32,4,0,71.87,1,caught,1,India,Centurion,04-Feb-18,ODI # 3970
1,5,2,0,0,50,1,lbw,2,India,Cape Town,07-Feb-18,ODI # 3971
