Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINO
102*,164,110,8,0,92.72,4,not out,1,South Africa,Christchurch,22-Feb-17,ODI # 3839
18,54,40,2,0,45,4,lbw,2,South Africa,Wellington,25-Feb-17,ODI # 3841
66,140,97,7,1,68.04,4,caught,2,South Africa,Hamilton,01-Mar-17,ODI # 3843
8,20,12,1,0,66.66,4,lbw,1,South Africa,Auckland,04-Mar-17,ODI # 3846
52,-,60,5,0,86.66,4,caught,1,Ireland,Dublin (Malahide),14-May-17,ODI # 3867
25,-,40,1,0,62.5,4,lbw,2,Bangladesh,Dublin,17-May-17,ODI # 3868
57,-,64,6,0,89.06,4,caught,1,Ireland,Dublin (Malahide),21-May-17,ODI # 3870
60*,-,56,6,0,107.14,4,not out,1,Bangladesh,Dublin,24-May-17,ODI # 3871
46,76,58,6,0,79.31,4,caught,1,Australia,Birmingham,02-Jun-17,ODI # 3876
39,95,59,3,0,66.1,4,caught,2,England,Cardiff,06-Jun-17,ODI # 3880
63,106,82,6,0,76.82,4,caught,1,Bangladesh,Cardiff,09-Jun-17,ODI # 3883
95,167,100,8,0,95,4,caught,2,India,Mumbai,22-Oct-17,ODI # 3928
21,43,33,2,0,63.63,4,caught,1,India,Pune,25-Oct-17,ODI # 3931
39,71,47,3,0,82.97,4,caught,2,India,Kanpur,29-Oct-17,ODI # 3932
49*,120,76,2,0,64.47,4,not out,2,West Indies,Whangarei,20-Dec-17,ODI # 3943
57,90,66,5,0,86.36,4,caught,1,West Indies,Christchurch,23-Dec-17,ODI # 3944
47*,82,54,6,0,87.03,4,not out,1,West Indies,Christchurch,26-Dec-17,ODI # 3945
12,29,14,0,0,85.71,4,bowled,1,Pakistan,Wellington,06-Jan-18,ODI # 3946
45*,60,43,4,0,104.65,4,not out,2,Pakistan,Nelson,09-Jan-18,ODI # 3947
52,98,64,4,0,81.25,4,lbw,1,Pakistan,Dunedin,13-Jan-18,ODI # 3949
1,5,4,0,0,25,4,lbw,2,Pakistan,Hamilton,16-Jan-18,ODI # 3953
59,108,73,3,0,80.82,4,bowled,1,Pakistan,Wellington,19-Jan-18,ODI # 3957
113,162,116,12,0,97.41,4,stumped,2,England,Hamilton,25-Feb-18,ODI # 3980
10,50,26,0,0,38.46,4,run out,1,England,Mount Maunganui,28-Feb-18,ODI # 3981
181*,213,147,17,6,123.12,4,not out,2,England,Dunedin,07-Mar-18,ODI # 3989
80,-,112,5,0,71.42,4,bowled,1,Pakistan,Abu Dhabi,07-Nov-18,ODI # 4066
86*,-,120,3,1,71.66,4,not out,1,Pakistan,Abu Dhabi,09-Nov-18,ODI # 4068
DNB,-,-,-,-,-,-,-,2,Pakistan,Dubai (DSC),11-Nov-18,ODI # 4070
54,-,37,6,2,145.94,4,caught,1,Sri Lanka,Mount Maunganui,03-Jan-19,ODI # 4074
90,-,105,4,1,85.71,4,run out,1,Sri Lanka,Mount Maunganui,05-Jan-19,ODI # 4075
137,-,131,9,4,104.58,4,caught,1,Sri Lanka,Nelson,08-Jan-19,ODI # 4076
24,48,41,3,0,58.53,4,caught,1,India,Napier,23-Jan-19,ODI # 4082
22,43,25,2,0,88,4,stumped,2,India,Mount Maunganui,26-Jan-19,ODI # 4085
93,181,106,9,0,87.73,4,caught,1,India,Mount Maunganui,28-Jan-19,ODI # 4088
37*,36,25,2,3,148,4,not out,2,India,Hamilton,31-Jan-19,ODI # 4091
1,7,4,0,0,25,4,lbw,2,India,Wellington,03-Feb-19,ODI # 4092
45*,72,49,6,0,91.83,4,not out,2,Bangladesh,Napier,13-Feb-19,ODI # 4093
21*,33,20,3,0,105,4,not out,2,Bangladesh,Christchurch,16-Feb-19,ODI # 4094
69,109,82,7,0,84.14,4,caught,1,Bangladesh,Dunedin,20-Feb-19,ODI # 4095
DNB,-,-,-,-,-,-,-,2,Sri Lanka,Cardiff,01-Jun-19,ODI # 4145
82,122,91,9,0,90.1,4,caught,2,Bangladesh,The Oval,05-Jun-19,ODI # 4151
48,74,52,6,1,92.3,4,bowled,2,Afghanistan,Taunton,08-Jun-19,ODI # 4154
1,6,2,0,0,50,4,caught,2,South Africa,Birmingham,19-Jun-19,ODI # 4165
69,148,95,7,0,72.63,4,caught,1,West Indies,Manchester,22-Jun-19,ODI # 4170
3,14,8,0,0,37.5,4,caught,1,Pakistan,Birmingham,26-Jun-19,ODI # 4174
30,76,54,2,0,55.55,4,caught,2,Australia,Lord's,29-Jun-19,ODI # 4178
28,54,42,2,0,66.66,4,run out,2,England,Chester-le-Street,03-Jul-19,ODI # 4183
74,130,90,3,1,82.22,4,run out,1,India,Manchester,09-Jul-19,ODI # 4190
15,47,31,0,0,48.38,4,lbw,1,England,Lord's,14-Jul-19,ODI # 4192
