Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINO
17,43,18,2,0,94.44,5,run out,1,India,Auckland,25-Jan-14,ODI # 3462
112*,152,127,15,0,88.18,4,not out,2,India,Hamilton,28-Jan-14,ODI # 3465
102,148,106,10,1,96.22,4,caught,1,India,Wellington,31-Jan-14,ODI # 3467
105*,171,135,9,1,77.77,4,not out,1,Pakistan,Dubai (DSC),08-Dec-14,ODI # 3564
2,9,3,0,0,66.66,4,caught,2,Pakistan,Sharjah,12-Dec-14,ODI # 3566
31,31,25,1,3,124,4,bowled,2,Pakistan,Sharjah,14-Dec-14,ODI # 3568
26,50,37,2,0,70.27,4,caught,1,Pakistan,Abu Dhabi,17-Dec-14,ODI # 3570
88*,124,95,5,1,92.63,4,not out,1,Pakistan,Abu Dhabi,19-Dec-14,ODI # 3571
34,96,69,2,0,49.27,4,caught,1,Sri Lanka,Hamilton,15-Jan-15,ODI # 3577
3,9,8,0,0,37.5,4,lbw,1,Sri Lanka,Auckland,17-Jan-15,ODI # 3580
8,29,23,0,0,34.78,4,caught,2,Sri Lanka,Nelson,20-Jan-15,ODI # 3585
20,33,23,3,0,86.95,4,caught,1,Sri Lanka,Dunedin,23-Jan-15,ODI # 3588
96,141,102,7,2,94.11,4,lbw,1,Sri Lanka,Dunedin,25-Jan-15,ODI # 3590
11,35,22,1,0,50,4,bowled,2,Sri Lanka,Wellington,29-Jan-15,ODI # 3594
59*,119,81,4,0,72.83,4,not out,2,Pakistan,Wellington,31-Jan-15,ODI # 3596
102*,111,70,13,2,145.71,4,not out,1,Pakistan,Napier,03-Feb-15,ODI # 3598
14,49,28,0,0,50,4,stumped,1,Sri Lanka,Christchurch,14-Feb-15,ODI # 3599
9,15,14,1,0,64.28,4,caught,2,Scotland,Dunedin,17-Feb-15,ODI # 3604
5*,14,5,1,0,100,4,not out,2,England,Wellington,20-Feb-15,ODI # 3607
1,-,2,0,0,50,4,bowled,2,Australia,Auckland,28-Feb-15,ODI # 3617
24*,76,41,2,0,58.53,4,not out,2,Afghanistan,Napier,08-Mar-15,ODI # 3628
56,161,97,5,0,57.73,4,lbw,2,Bangladesh,Hamilton,13-Mar-15,ODI # 3634
42,92,61,2,0,68.85,4,run out,1,West Indies,Wellington,21-Mar-15,ODI # 3643
30,57,39,4,0,76.92,4,caught,2,South Africa,Auckland,24-Mar-15,ODI # 3644
40,104,72,2,0,55.55,4,caught,1,Australia,Melbourne,29-Mar-15,ODI # 3646
57,100,54,5,1,105.55,4,lbw,2,England,Birmingham,09-Jun-15,ODI # 3654
119*,146,96,10,4,123.95,4,not out,1,England,The Oval,12-Jun-15,ODI # 3655
110,173,123,12,0,89.43,4,bowled,2,England,Southampton,14-Jun-15,ODI # 3656
42,63,55,3,0,76.36,4,lbw,1,England,Nottingham,17-Jun-15,ODI # 3657
47,93,63,2,0,74.6,4,caught,1,England,Chester-le-Street,20-Jun-15,ODI # 3659
112*,168,122,6,3,91.8,4,not out,1,Zimbabwe,Harare,02-Aug-15,ODI # 3673
DNB,-,-,-,-,-,-,-,2,Zimbabwe,Harare,04-Aug-15,ODI # 3674
5*,19,9,0,0,55.55,4,not out,2,Sri Lanka,Christchurch,26-Dec-15,ODI # 3714
DNB,-,-,-,-,-,-,-,2,Sri Lanka,Christchurch,28-Dec-15,ODI # 3715
0,2,2,0,0,0,4,caught,1,Sri Lanka,Nelson,31-Dec-15,ODI # 3717
20*,18,14,3,0,142.85,4,not out,1,Sri Lanka,Nelson,02-Jan-16,ODI # 3718
61,103,67,4,1,91.04,4,caught,1,Sri Lanka,Mount Maunganui,05-Jan-16,ODI # 3721
0,7,1,0,0,0,4,caught,1,India,Dharamsala,16-Oct-16,ODI # 3796
21,44,42,2,0,50,4,caught,1,India,Delhi,20-Oct-16,ODI # 3797
44,56,57,4,1,77.19,4,stumped,1,India,Mohali,23-Oct-16,ODI # 3798
35,85,58,1,0,60.34,4,run out,1,India,Ranchi,26-Oct-16,ODI # 3799
19,38,32,1,0,59.37,4,caught,2,India,Visakhapatnam,29-Oct-16,ODI # 3800
16,38,24,1,0,66.66,4,bowled,1,Australia,Auckland,30-Jan-17,ODI # 3829
107,147,101,13,0,105.94,4,caught,1,Australia,Hamilton,05-Feb-17,ODI # 3832
1,4,3,0,0,33.33,4,caught,1,South Africa,Hamilton,19-Feb-17,ODI # 3836
