Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
4,11,4,1,0,100,4,bowled,2,India,Cardiff,27-Aug-14,ODI # 3517
2,7,7,0,0,28.57,4,stumped,1,India,Nottingham,30-Aug-14,ODI # 3520
44,97,81,2,0,54.32,4,caught,1,India,Birmingham,02-Sep-14,ODI # 3523
113,133,108,10,3,104.62,4,caught,1,India,Leeds,05-Sep-14,ODI # 3525
2,7,8,0,0,25,4,caught,2,Sri Lanka,Colombo (RPS),26-Nov-14,ODI # 3554
42,71,57,1,0,73.68,4,lbw,1,Sri Lanka,Colombo (RPS),29-Nov-14,ODI # 3557
48*,90,48,2,2,100,4,not out,2,Sri Lanka,Hambantota,03-Dec-14,ODI # 3561
36,77,49,1,1,73.46,4,bowled,1,Sri Lanka,Colombo (RPS),07-Dec-14,ODI # 3563
104*,159,117,7,1,88.88,4,not out,2,Sri Lanka,Pallekele,10-Dec-14,ODI # 3565
55,114,76,4,0,72.36,4,bowled,2,Sri Lanka,Pallekele,13-Dec-14,ODI # 3567
80,142,99,5,0,80.8,4,lbw,2,Sri Lanka,Colombo (RPS),16-Dec-14,ODI # 3569
5,15,15,1,0,33.33,4,caught,1,Australia,Sydney,16-Jan-15,ODI # 3578
DNB,-,-,-,-,-,-,-,2,India,Brisbane,20-Jan-15,ODI # 3586
69,101,70,6,0,98.57,4,caught,1,Australia,Hobart,23-Jan-15,ODI # 3589
3,6,2,0,0,150,4,caught,2,India,Perth,30-Jan-15,ODI # 3595
25,46,37,2,0,67.56,4,lbw,2,Australia,Perth,01-Feb-15,ODI # 3597
5,20,12,0,0,41.66,4,caught,2,Australia,Melbourne,14-Feb-15,ODI # 3600
46,123,70,3,0,65.71,4,caught,1,New Zealand,Wellington,20-Feb-15,ODI # 3607
1,8,3,0,0,33.33,4,caught,1,Scotland,Christchurch,23-Feb-15,ODI # 3611
121,151,108,14,2,112.03,4,lbw,1,Sri Lanka,Wellington,01-Mar-15,ODI # 3619
29,79,47,2,0,61.7,4,caught,2,Bangladesh,Adelaide,09-Mar-15,ODI # 3630
